Site	Habitat	Type	Altitude
BB04	BB	1	900
BB05	BB	1	800
BB06	BB	1	850
BB07	BB	1	800
BB08	BB	1	750
BB09	BB	1	800
BB10	BB	1	800
CL01	CL	2	1250
CL03	CL	2	1250
CL04	CL	2	1250
CL05	CL	2	1100
CL06	CL	2	1100
CL07	CL	2	1100
CL08	CL	2	1100
CL09	CL	2	1100
CL10	CL	2	1100
CL11	CL	2	400
CL12	CL	2	400
CL13	CL	2	400
CL14	CL	2	400
CL15	CL	2	400
CL16	CL	2	400
EC01	EC	3	500
EC05	EC	3	600
EC06	EC	3	600
EC07	EC	3	400
EC08	EC	3	400
EC09	EC	3	500
EC10	EC	3	400
JC01	JC	4	1100
JC02	JC	4	1200
JC03	JC	4	1200
JC05	JC	4	1100
JC06	JC	4	1150
JC07	JC	4	1200
JC09	JC	4	1000
JC10	JC	4	1000
JC11	JC	4	1000
JC12	JC	4	1000
MP01	MP	5	1000
MP02	MP	5	1000
MP04	MP	5	1000
MP05	MP	5	950
MP06	MP	5	950
MP07	MP	5	950
MP08	MP	5	950
MP09	MP	5	1050
MP10	MP	5	1000
NF02	NF	6	700
NF05	NF	6	550
NF06	NF	6	550
NF07	NF	6	800
NF08	NF	6	900
NF09	NF	6	900
NF10	NF	6	1100
NF11	NF	6	1400
NF12	NF	6	1300
NF13	NF	6	1300
NF14	NF	6	950
NF15	NF	6	500
NF16	NF	6	500
