"CL13"	"JC11"	"NF8"	"BB10"	"CL7"	"NF12"	"MF1"	"EC9"	"EC8"	"CL14"	"BB9"	"EC6"	"EC5"	"CL4"	"CL6"	"CL3"	"MF7"	"CL16"	"NF10"	"CL5"	"NF9"	"CL12"	"MF5"	"NF14"	"BB6"	"JC9"	"JC6"	"JC1"	"NF4"	"NF2"	"CL8"	"NF11"	"MF6"	"NF13"	"BB7"	"JC2"	"MF4"	"CL9"	"NF7"	"BB3"	"EC1"	"JC8"	"NF1"	"NF15"	"EC10"	"NF5"	"CL1"	"MF8"	"EC4"	"BB4"	"NF16"	"CL10"	"CL15"	"CL2"	"MF2"	"JC5"	"JC12"	"EC7"	"MF9"	"CL11"	"NF6"	"BB1"	"JC7"	"MF10"	"BB5"	"JC10"	"BB8"	"JC3"	"BB2"	"JC4"
"Cluster1000695"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
"Cluster1000774"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1002252"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
"Cluster1002938"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1003060"	0	0	0	0	0	0	0	0	0	0	0	4262	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1003587"	0	0	0	141	0	0	0	0	0	1	0	147	8	0	0	180	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1710	0	0	0	0	5	0	24875	0	0	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0
"Cluster1003926"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1005727"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Cluster1008496"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	646	0	2150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
